"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
576,1,3,3,1,3,4,NA,1,0,1,0,1,1,1,4,5,4,2,5,0.222419929
577,0,3,4,3,2,4,3,1,1,1,0,1,1,1,5,3,5,4,5,0.222419929
578,0,3,4,3,2,3,3,1,1,3,1,1,1,3,5,5,5,3,5,0.222419929
579,1,2,3,3,4,2,4,0,1,1,0,1,1,1,3,4,3,3,4,0.232173727
580,1,2,3,1,4,5,2,0,1,4,1,1,1,4,4,3,2,2,5,0.501949734
581,1,3,4,3,3,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.232173727
582,1,3,4,3,3,4,2,0,1,1,0,1,1,1,4,4,4,4,4,0.232173727
583,1,2,4,3,2,1,5,0,1,2,1,1,1,2,4,4,2,4,4,0.232173727
584,0,3,3,3,3,3,3,0,1,1,0,1,1,1,3,4,4,4,4,0.222419929
585,1,3,4,1,6,3,2,0,1,1,0,1,1,1,4,4,3,4,4,0.707379899
586,1,2,4,3,4,4,2,0,1,1,0,1,1,1,4,3,4,4,4,0.232173727
587,0,3,4,2,4,4,2,1,0,3,1,1,3,3,4,4,5,2,4,0.222419929
588,0,3,3,3,2,4,1,0,0,2,1,1,2,2,4,2,1,0,5,0.222419929
589,0,2,4,1,5,4,4,1,1,1,0,1,1,1,4,2,2,3,4,0.222419929
590,0,2,4,4,2,5,3,0,1,4,1,1,4,4,5,5,4,2,5,0.222419929
591,1,2,4,3,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.232173727
592,0,2,4,3,3,4,4,0,1,3,1,1,1,3,4,4,4,4,4,0.222419929
593,0,2,3,2,2,4,2,0,1,3,1,1,1,3,3,3,4,2,4,0.222419929
594,0,2,4,3,3,2,4,0,1,3,1,1,1,3,4,4,4,3,4,0.222419929
595,0,3,3,5,3,3,2,0,1,3,1,1,1,3,2,4,2,3,5,0.222419929
596,0,3,4,5,3,3,3,0,1,3,1,1,1,3,2,3,3,4,5,0.222419929
597,1,2,3,6,4,3,3,0,1,1,0,1,1,1,4,4,4,5,4,0.222419929
598,1,3,4,6,4,3,5,1,0,3,1,3,1,3,4,2,1,4,4,0.222419929
599,1,2,4,1,2,2,4,1,1,4,1,4,4,1,4,4,3,3,4,0.501949734
600,0,3,3,3,5,4,3,0,1,3,1,1,1,3,3,3,3,4,4,0.222419929
601,0,4,2,1,6,5,1,0,1,3,1,3,1,3,3,5,1,4,3,3.511892077
602,0,2,4,3,4,3,2,0,1,1,0,1,1,1,4,4,3,4,4,0.222419929
603,0,2,4,3,4,3,3,0,1,1,0,1,1,1,4,4,4,1,4,0.222419929
604,1,2,2,3,3,3,2,0,1,2,1,1,2,2,5,4,4,4,5,3.558718861
605,1,2,2,3,3,4,5,0,1,3,1,1,1,3,4,4,4,3,4,3.558718861
606,0,3,4,2,2,2,3,0,1,4,1,1,4,4,2,4,3,4,4,0.222419929
607,1,2,2,6,5,3,5,0,1,1,0,1,1,1,4,3,5,5,4,3.558718861
608,1,3,4,2,2,4,4,1,1,5,1,5,1,5,4,4,5,4,1,0.222419929
609,0,3,4,3,4,2,3,1,1,1,0,1,1,1,4,4,4,3,4,0.222419929
610,1,3,4,2,2,5,1,1,1,4,1,4,1,4,4,5,5,2,4,0.222419929
611,0,2,3,2,2,3,3,0,1,5,1,1,5,5,4,2,3,3,3,0.222419929
612,1,3,4,2,3,3,2,1,1,5,1,5,1,1,4,4,4,4,5,0.222419929
613,1,2,4,2,1,4,2,0,1,1,0,1,1,1,4,4,3,3,5,0.222419929
614,0,4,4,4,2,3,4,0,1,1,0,1,1,1,3,3,3,6,4,0.222419929
615,0,3,4,4,4,3,3,0,0,3,1,3,3,3,3,3,3,3,4,0.222419929
616,0,2,4,1,4,3,5,0,0,4,1,4,4,1,3,3,3,4,2,0.222419929
617,1,2,4,2,2,3,4,0,1,1,0,1,1,1,5,3,2,5,4,0.222419929
618,1,2,4,1,3,4,1,0,1,1,0,1,1,1,4,5,2,3,4,0.501949734
619,1,2,4,2,4,3,3,0,1,1,0,1,1,1,4,3,NA,3,4,0.222419929
620,1,2,4,6,4,3,4,0,1,3,1,3,1,3,3,1,1,2,3,0.222419929
621,1,2,4,2,3,4,2,0,1,1,0,1,1,1,4,3,2,3,5,0.222419929
622,1,2,4,1,3,5,4,0,1,1,0,1,1,1,4,5,4,3,5,0.501949734
623,0,2,3,3,2,4,3,0,1,3,1,3,3,3,3,4,4,3,4,0.222419929
624,0,4,4,2,1,2,3,0,1,3,1,1,3,3,3,4,3,1,4,0.222419929
625,0,2,3,2,3,2,2,0,1,3,1,3,1,3,3,4,1,2,4,0.222419929
626,0,3,4,3,4,2,4,0,1,2,1,2,1,2,4,4,2,2,4,0.222419929
627,1,3,4,1,2,4,2,0,1,1,0,1,1,1,4,4,4,4,4,0.707379899
628,0,2,4,2,4,5,4,0,1,2,1,2,1,2,2,1,1,6,2,0.222419929
629,0,2,4,3,3,3,4,0,1,2,1,2,1,2,4,4,4,4,4,0.222419929
630,0,2,4,3,5,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,3,1,4,0.222419929
631,0,2,4,3,5,NA,2,0,1,1,0,1,1,1,3,4,4,4,4,0.222419929
632,0,3,4,2,4,3,4,0,0,1,0,1,1,1,3,4,4,4,3,0.222419929
633,1,3,4,6,2,4,2,0,0,1,0,1,1,1,4,4,4,4,4,0.222419929
634,0,3,3,3,5,4,3,0,1,3,1,1,3,3,3,3,3,2,4,0.222419929
635,1,3,4,4,3,4,4,0,1,1,0,1,1,1,4,4,4,5,4,0.222419929
636,0,3,2,6,2,2,3,0,1,4,1,1,1,4,4,4,4,2,4,3.412350848
637,1,3,3,2,5,3,1,1,0,1,0,1,1,1,4,4,3,4,5,0.222419929
638,0,4,3,1,2,3,1,0,1,3,1,1,3,3,2,3,4,1,5,0.222419929
639,0,3,4,3,5,3,3,1,1,1,0,1,1,1,3,2,3,3,4,0.222419929
640,0,3,4,3,5,3,2,0,1,1,0,1,1,1,3,4,4,3,4,0.222419929
641,1,3,4,1,2,4,2,0,0,1,0,1,1,1,4,4,4,4,5,0.222419929
642,1,2,4,2,4,4,2,0,1,2,1,1,1,2,5,4,5,4,5,0.222419929
643,0,3,4,3,5,3,2,0,1,1,0,1,1,1,4,2,4,4,4,0.222419929
644,0,3,4,3,5,3,3,0,1,1,0,1,1,1,3,4,NA,3,4,0.222419929
645,0,2,4,3,5,NA,3,0,1,1,0,1,1,1,3,3,4,4,4,0.222419929
646,0,2,4,3,5,3,2,0,1,1,0,1,1,1,4,4,4,4,4,0.222419929
647,0,2,4,1,3,3,3,0,0,1,0,1,1,1,3,3,3,3,3,0.222419929
648,0,2,4,1,2,4,2,0,0,5,1,1,5,1,4,4,4,3,3,0.222419929
