"ObsNo","Female","Age_Group","Education","Region","Pol_Interest","Econ_Ideology","Pol_Ideology","Party_Member","Urban","Participation","Participate_Binary","Participate_Pol","Participate_Ent","Participate_Ina","Censor_Support","Censor_Pol_Support","Censor_Ent_Support","Responsibility_Gov","Gov_Assess","calibWeight"
791,0,1,2,2,5,2,5,0,0,3,1,3,1,3,2,2,3,3,5,0.232238469
792,0,2,2,1,3,3,3,0,1,3,1,1,3,1,3,4,3,3,3,3.511892077
793,NA,3,3,1,1,3,2,0,1,1,0,1,1,1,3,4,3,3,4,0.222419929
794,0,2,4,1,3,3,2,0,1,1,0,1,1,1,4,4,3,2,4,0.222419929
795,0,2,4,1,3,4,2,0,1,1,0,1,1,1,3,3,3,2,4,0.222419929
796,0,2,4,4,5,4,2,0,1,4,1,4,1,4,4,4,4,2,5,0.222419929
797,0,3,4,4,4,4,2,0,1,2,1,1,2,1,4,4,5,3,5,0.222419929
798,0,3,4,4,2,4,3,1,1,1,0,1,1,1,4,4,4,4,4,0.222419929
799,0,3,4,4,2,4,2,1,1,2,1,1,2,2,5,4,4,4,4,0.222419929
800,0,3,4,2,3,3,2,0,1,3,1,3,1,1,4,4,5,4,5,0.222419929
801,1,3,3,6,4,3,3,0,1,1,0,1,1,1,3,2,3,3,4,0.222419929
802,1,3,3,6,4,3,4,0,1,1,0,1,1,1,2,3,2,2,4,0.222419929
803,0,2,2,4,5,1,1,0,0,1,0,1,1,1,3,3,3,5,5,0.232238469
804,1,2,3,4,4,2,4,0,1,1,0,1,1,1,3,3,2,3,4,0.222419929
805,1,1,3,4,4,3,4,0,0,3,1,3,1,3,4,3,3,3,4,0.222419929
806,1,1,3,2,1,2,3,0,1,2,1,1,1,2,3,2,2,3,4,0.222419929
807,0,4,1,6,4,3,5,0,1,2,1,2,1,2,5,2,1,4,5,3.412350848
808,0,2,1,1,1,4,5,0,0,1,0,1,1,1,3,1,2,3,5,2.432931
809,0,2,1,2,1,4,2,0,0,1,0,1,1,1,4,1,4,4,4,0.232238469
810,1,3,3,2,3,3,2,0,1,2,1,2,1,1,4,3,4,5,4,0.222419929
811,1,3,3,2,3,4,2,0,1,1,0,1,1,1,4,4,4,5,4,0.222419929
812,0,2,2,4,1,3,1,0,0,1,0,1,1,1,3,3,3,5,3,0.232238469
813,0,1,1,4,2,4,2,0,0,1,0,1,1,1,4,4,4,1,3,0.232238469
814,0,2,2,6,4,3,3,1,0,1,0,1,1,1,3,3,3,8,5,0.232238469
815,1,2,3,4,1,3,3,0,0,1,0,1,1,1,4,3,2,4,3,0.222419929
816,0,1,1,2,3,2,3,0,0,2,1,1,1,2,4,4,3,2,5,0.232238469
817,0,1,2,4,1,4,1,0,0,1,0,1,1,1,4,4,4,4,4,0.232238469
818,0,2,2,6,3,4,2,0,1,3,1,1,1,3,3,4,4,3,4,3.172756249
819,0,1,1,1,1,2,4,0,1,2,1,1,1,1,3,3,3,3,3,3.511892077
820,0,2,2,4,3,5,4,0,1,1,0,1,1,1,4,5,5,0,4,2.263165175
821,0,3,3,5,1,3,3,0,1,2,1,1,1,2,3,3,2,4,3,0.222419929
822,0,2,4,2,2,3,1,0,0,2,1,1,1,2,5,2,1,3,4,0.222419929
823,0,2,4,1,3,5,4,0,0,3,1,3,1,3,4,1,1,1,2,0.222419929
824,1,3,4,2,3,3,2,0,1,4,1,1,4,4,4,3,4,4,4,0.222419929
825,1,2,4,2,3,4,5,NA,1,1,0,1,1,1,5,2,2,2,5,0.222419929
826,1,3,4,2,3,3,2,0,1,4,1,1,1,4,3,3,4,3,3,0.222419929
827,0,2,2,2,3,3,3,0,1,4,1,1,1,4,3,2,2,6,3,2.263165175
828,0,4,3,3,4,4,5,0,1,1,0,1,1,1,5,4,4,2,4,0.222419929
829,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,NA,3.412350848
830,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,5,3.412350848
831,1,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.558718861
832,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
833,0,4,1,6,4,4,3,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
834,0,4,1,6,4,4,3,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
835,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
836,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,3.412350848
837,1,3,2,3,2,5,3,1,0,1,0,1,1,1,5,3,2,5,5,3.558718861
838,0,1,2,2,1,5,2,0,1,2,1,1,1,2,3,5,4,3,3,3.214676079
839,1,2,4,1,3,4,3,0,1,3,1,1,1,3,4,4,4,3,5,0.501949734
840,1,4,4,1,6,5,1,0,1,1,0,1,1,1,5,4,4,4,5,0.56609755
841,1,3,4,3,4,3,3,1,1,2,1,2,1,2,3,3,3,3,3,0.232173727
842,1,NA,4,1,4,5,5,0,NA,1,0,1,1,1,5,3,NA,1,5,0.224034476
843,0,1,2,3,3,3,4,0,1,1,0,1,1,1,4,2,3,5,3,3.511892077
844,0,3,2,2,4,2,2,0,0,2,1,1,1,2,3,4,2,4,3,0.232238469
845,1,2,3,1,6,2,3,1,1,1,0,1,1,1,2,3,2,3,5,0.501949734
846,0,2,3,3,4,5,3,1,0,1,0,1,1,1,3,4,2,3,5,0.222419929
847,1,3,4,2,3,3,4,0,1,1,0,1,1,1,2,4,4,1,4,0.222419929
848,1,2,3,1,6,3,2,0,1,3,1,1,1,3,2,2,2,4,3,0.501949734
849,1,2,4,1,3,4,2,1,1,1,0,1,1,1,4,4,4,2,4,0.501949734
850,1,2,4,5,5,4,3,0,1,1,0,1,1,1,5,3,3,5,5,0.232173727
851,1,3,4,3,4,4,5,0,1,1,0,1,1,1,1,5,2,4,3,0.232173727
852,0,3,2,1,2,1,3,0,1,1,0,1,1,1,4,2,2,3,1,3.511892077
853,1,4,4,3,3,3,3,0,1,3,1,1,3,3,3,3,3,5,3,0.232173727
854,1,3,4,1,2,1,4,0,1,3,1,1,1,3,5,2,3,8,2,0.707379899
855,0,2,2,1,1,3,3,0,1,2,1,2,2,2,2,2,3,2,4,3.511892077
856,0,1,2,2,3,2,4,0,1,2,1,2,1,2,2,4,4,1,4,3.214676079
857,1,2,4,3,4,5,5,0,1,3,1,1,3,3,3,2,2,2,3,0.232173727
858,1,2,4,1,3,4,2,0,1,3,1,3,3,3,4,4,2,4,4,0.501949734
859,1,3,4,2,4,2,3,0,1,1,0,1,1,1,2,NA,3,4,3,0.222419929
860,1,1,2,2,2,2,1,0,1,4,1,4,1,4,4,4,5,3,4,3.558718861
861,1,2,4,6,4,4,3,0,1,4,1,1,1,4,2,3,2,4,4,0.222419929
862,1,2,4,6,3,4,2,0,1,1,0,1,1,1,3,5,4,4,4,0.222419929
863,0,1,2,3,4,3,4,0,1,2,1,2,1,2,2,4,3,2,4,3.511892077
864,0,1,2,1,5,4,3,0,1,3,1,1,3,1,4,2,2,4,5,3.511892077
865,1,2,4,1,6,3,2,0,1,1,0,1,1,1,4,4,3,4,5,0.501949734
866,1,3,4,3,2,4,4,0,1,1,0,1,1,1,3,3,3,0,4,0.232173727
867,1,3,4,3,2,4,3,0,1,1,0,1,1,1,2,2,2,0,4,0.232173727
868,1,3,4,1,3,3,3,0,1,1,0,1,1,1,2,3,3,3,3,0.707379899
869,1,2,4,2,3,4,2,0,1,1,0,1,1,1,4,4,4,3,5,0.222419929
870,1,3,4,1,4,2,2,0,1,1,0,1,1,1,4,5,4,7,4,0.707379899
871,1,4,4,3,4,3,3,0,1,3,1,3,1,3,3,3,3,5,3,0.232173727
872,1,2,4,5,3,4,2,0,1,1,0,1,1,1,4,4,4,2,4,0.232173727
873,1,2,4,2,2,4,3,1,1,2,1,1,1,2,5,4,4,4,5,0.222419929
874,1,3,4,2,3,3,1,0,1,1,0,1,1,1,5,4,5,4,3,0.222419929
875,1,3,4,3,1,3,3,0,1,1,0,1,1,1,3,3,3,0,4,0.232173727
876,1,2,4,1,6,5,1,0,1,1,0,1,1,1,3,5,4,4,5,0.501949734
877,1,3,4,3,1,3,3,0,1,1,0,1,1,1,3,3,3,0,3,0.232173727
878,0,2,2,1,3,4,2,1,0,1,0,1,1,1,4,4,2,4,4,2.432931
879,1,2,4,2,4,4,2,0,1,1,0,1,1,1,3,2,3,5,4,0.222419929
880,1,4,4,1,2,2,3,0,1,3,1,1,1,3,4,4,3,8,4,0.56609755
881,1,3,4,3,2,3,3,0,1,1,0,1,1,1,3,3,3,3,3,0.232173727
882,1,3,4,3,2,3,NA,0,1,1,0,1,1,1,3,3,3,4,3,0.232173727
883,1,4,4,3,3,3,3,0,1,4,1,1,4,4,3,3,3,3,3,0.232173727
884,1,2,4,1,6,4,5,0,1,2,1,1,1,2,4,2,2,3,3,0.501949734
885,1,4,4,3,5,3,3,NA,1,5,1,5,5,5,3,3,3,3,3,0.232173727
886,1,2,4,3,5,1,2,0,1,1,0,1,1,1,2,3,1,5,4,0.232173727
887,1,2,4,3,4,4,1,0,1,1,0,1,1,1,4,3,4,3,5,0.232173727
888,0,3,2,3,2,3,3,0,1,NA,NA,NA,NA,NA,3,3,3,8,3,3.511892077
889,1,2,4,2,3,4,2,0,1,1,0,1,1,1,5,2,4,4,4,0.222419929
890,1,3,4,2,2,4,5,0,NA,3,1,1,1,3,4,2,2,4,4,0.222419929
891,1,4,4,3,6,5,3,0,1,4,1,4,4,4,3,3,3,3,3,0.232173727
892,1,3,4,3,3,5,3,1,1,4,1,1,1,4,2,4,5,3,5,0.232173727
893,0,4,NA,3,NA,3,3,0,1,1,0,1,1,1,3,3,3,8,3,3.511892077
894,1,2,4,3,4,4,2,0,1,1,0,1,1,1,4,4,4,3,4,0.232173727
895,1,3,4,1,5,4,5,0,1,2,1,1,1,2,2,4,1,5,5,0.707379899
896,1,3,4,2,3,5,2,0,1,1,0,1,1,1,4,4,4,5,4,0.222419929
897,1,2,2,1,4,4,4,1,1,1,0,1,1,1,4,4,2,4,5,3.558718861
898,1,3,4,2,4,3,4,0,1,2,1,1,1,2,2,3,3,4,4,0.222419929
899,1,4,4,3,4,3,3,0,1,5,1,5,5,5,3,3,3,4,3,0.232173727
900,1,3,4,2,3,4,4,0,1,4,1,1,1,4,4,4,4,4,5,0.222419929
901,1,3,4,1,3,5,5,1,1,3,1,1,3,1,3,2,2,3,4,0.707379899
902,1,3,4,1,3,4,2,0,1,2,1,1,1,2,2,2,2,4,4,0.707379899
903,1,2,4,1,6,5,1,0,1,1,0,1,1,1,5,5,5,4,5,0.501949734
904,0,4,2,3,2,3,3,0,1,1,0,1,1,1,3,3,3,8,3,3.511892077
905,1,3,4,2,5,3,2,1,0,1,0,1,1,1,4,NA,3,4,5,0.222419929
906,0,2,2,2,3,3,4,1,0,1,0,1,1,1,3,3,3,6,3,0.232238469
907,0,4,2,3,2,3,3,0,1,1,0,1,1,1,3,3,3,8,3,3.511892077
908,1,2,4,1,6,5,1,0,1,1,0,1,1,1,NA,5,5,2,5,0.501949734
909,1,2,4,2,1,5,5,0,0,5,1,1,5,5,5,3,3,4,5,0.222419929
910,1,4,4,3,5,3,3,0,1,3,1,3,1,3,3,3,3,3,3,0.232173727
911,1,2,4,1,3,4,5,0,1,2,1,1,1,2,4,4,3,2,4,0.501949734
912,1,3,4,2,4,2,3,0,1,1,0,1,1,1,2,2,3,2,2,0.222419929
913,1,2,4,2,4,2,3,1,1,1,0,1,1,1,2,3,3,3,4,0.222419929
914,1,4,4,3,3,2,5,0,1,1,0,1,1,1,4,4,4,4,5,0.232173727
915,1,4,4,3,3,4,2,0,1,1,0,1,1,1,4,4,1,3,5,0.232173727
916,1,2,4,1,2,1,4,0,1,1,0,1,1,1,2,3,3,5,5,0.501949734
917,1,3,4,2,4,2,4,0,1,1,0,1,1,1,3,3,3,3,5,0.222419929
918,1,3,4,3,5,3,3,0,1,2,1,2,2,2,3,3,3,4,3,0.232173727
919,1,2,4,1,2,2,4,0,1,3,1,3,3,3,1,2,3,4,3,0.501949734
920,0,4,2,3,1,3,3,0,1,1,0,1,1,1,3,3,3,8,3,3.511892077
921,1,4,4,3,1,3,3,0,1,1,0,1,1,1,3,3,3,3,3,0.232173727
922,1,2,4,2,4,2,4,1,1,1,0,1,1,1,3,3,2,3,4,0.222419929
923,1,4,4,3,3,4,4,0,1,1,0,1,1,1,2,4,4,3,5,0.232173727
924,1,4,4,3,3,2,5,0,1,1,0,1,1,1,4,5,2,6,5,0.232173727
925,1,4,4,3,5,3,3,1,1,2,1,2,1,2,3,3,3,4,3,0.232173727
926,1,4,4,3,3,2,4,0,1,1,0,1,1,1,1,4,2,5,5,0.232173727
927,1,2,4,1,3,3,3,0,1,3,1,3,3,3,4,3,3,3,2,0.501949734
928,1,2,4,1,6,5,1,0,1,1,0,1,1,1,NA,5,5,4,5,0.501949734
929,1,2,4,1,5,3,2,1,1,1,0,1,1,1,5,3,2,4,4,0.501949734
930,0,4,2,5,NA,4,4,1,0,1,0,1,1,1,NA,2,2,5,4,0.391381034
931,0,4,2,2,3,3,3,0,1,1,0,1,1,1,3,NA,3,4,3,2.95703272
932,0,4,2,2,2,3,3,0,1,1,0,1,1,1,3,3,3,8,3,2.95703272
933,0,4,2,5,1,4,4,1,0,1,0,1,1,1,4,2,2,5,4,0.391381034
934,0,4,2,2,2,3,3,0,1,1,0,1,1,1,3,3,3,0,3,2.95703272
935,0,4,2,2,1,4,4,1,1,1,0,1,1,1,4,2,2,5,4,2.95703272
936,0,3,2,2,2,3,3,0,1,1,0,1,1,1,3,3,3,8,3,3.405215257
937,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,4,4,3.412350848
938,0,4,1,6,4,4,2,0,1,1,0,1,1,1,3,4,4,3,4,3.412350848
939,1,4,1,3,3,4,4,0,1,1,0,1,1,1,2,5,2,4,5,3.558718861
940,1,4,1,3,3,2,4,0,1,1,0,1,1,1,5,4,4,3,5,3.558718861
941,1,4,1,3,3,2,4,0,1,1,0,1,1,1,2,5,2,2,5,3.558718861
942,1,4,1,3,4,5,1,0,1,2,1,1,2,2,5,5,5,2,5,3.558718861
943,1,4,1,3,4,5,5,0,1,1,0,1,1,1,5,5,5,4,5,3.558718861
944,0,4,2,5,2,5,4,1,0,1,0,1,1,1,4,2,2,4,4,0.391381034
945,0,4,2,2,2,3,3,0,1,1,0,1,1,1,3,3,3,0,3,2.95703272
946,0,4,2,5,3,4,4,1,0,1,0,1,1,1,4,2,2,5,NA,0.391381034
947,0,4,2,6,4,2,4,0,1,2,1,2,2,2,4,4,2,4,4,3.412350848
948,0,4,2,2,1,3,3,0,1,1,0,1,1,1,3,3,3,2,3,2.95703272
949,0,4,2,2,3,4,3,0,1,1,0,1,1,1,3,3,3,2,3,2.95703272
950,0,4,2,2,4,4,3,1,1,2,1,1,1,2,3,4,5,5,3,2.95703272
951,1,3,2,1,5,2,5,0,0,2,1,1,1,2,4,4,4,3,5,3.558718861
952,1,4,2,1,4,2,5,0,0,2,1,1,1,2,4,4,4,3,4,3.558718861
953,1,3,2,2,5,2,5,1,0,2,1,2,1,2,4,4,4,4,4,2.565117498
954,1,2,4,6,3,4,2,0,0,2,1,2,1,1,2,4,1,3,5,0.222419929
955,1,1,1,5,4,3,2,0,1,3,1,3,1,3,5,5,4,1,5,3.558718861
956,1,2,4,6,5,4,2,0,1,1,0,1,1,1,2,4,4,4,5,0.222419929
957,0,3,2,6,6,2,5,0,1,3,1,3,1,3,4,4,4,4,5,3.412350848
958,0,4,2,6,4,2,5,0,0,2,1,1,1,2,4,4,4,4,4,0.232238469
959,1,1,3,3,1,5,1,0,1,2,1,1,2,2,5,4,5,4,5,0.232173727
960,1,2,4,3,3,2,3,0,1,1,0,1,1,1,2,5,4,3,3,0.232173727
961,0,1,1,2,2,2,5,0,0,1,0,1,1,1,2,1,1,5,5,0.232238469
962,0,4,2,6,4,2,4,0,0,2,1,2,1,2,4,4,4,4,5,0.232238469
963,1,2,4,5,3,1,3,0,0,2,1,2,1,2,5,2,2,3,5,0.222419929
964,0,4,3,3,5,3,3,0,1,2,1,2,1,2,3,3,4,3,3,0.222419929
965,0,2,1,1,2,2,2,0,0,1,0,1,1,1,4,5,4,5,2,2.432931
966,1,2,4,2,5,2,3,0,1,1,0,1,1,1,4,2,2,7,3,0.222419929
967,1,2,3,6,2,2,5,0,0,2,1,1,1,2,3,4,2,5,5,0.222419929
968,0,1,4,3,4,2,1,0,1,2,1,2,1,1,2,2,2,1,5,0.222419929
969,1,3,3,3,5,4,3,0,1,1,0,1,1,1,1,4,4,5,4,0.232173727
970,1,2,4,2,4,4,4,0,0,1,0,1,1,1,1,4,4,2,4,0.222419929
971,1,3,3,3,4,4,3,0,1,3,1,3,3,3,4,3,4,5,4,0.232173727
972,1,2,3,5,3,3,3,1,0,5,1,5,5,5,4,2,2,4,5,0.222419929
973,0,2,3,2,4,3,5,0,0,2,1,2,1,1,4,3,2,4,5,0.222419929
974,0,1,2,1,1,2,2,0,1,2,1,2,1,2,1,4,2,5,3,3.511892077
975,0,3,3,1,3,4,2,0,1,3,1,3,1,3,4,5,5,8,3,0.222419929
976,0,2,3,2,4,5,1,0,1,3,1,3,3,3,4,2,1,3,4,0.222419929
977,0,2,3,5,5,4,3,1,1,2,1,1,1,2,4,3,3,3,4,0.222419929
978,0,2,3,1,6,3,4,0,1,3,1,1,1,3,3,4,4,5,3,0.222419929
979,1,2,2,2,2,5,2,0,0,1,0,1,1,1,3,2,3,1,5,1.683689717
980,1,2,3,1,4,5,4,0,1,4,1,4,1,4,2,3,2,2,4,0.501949734
981,0,2,3,5,2,5,5,1,1,3,1,3,1,3,5,1,1,6,5,0.222419929
982,0,2,2,3,5,3,4,0,0,2,1,2,1,2,4,3,3,5,3,0.299543499
983,0,1,2,2,3,5,3,0,1,3,1,3,3,3,3,4,3,3,4,3.214676079
984,1,2,2,2,3,1,5,0,0,2,1,2,2,2,3,1,2,3,4,1.683689717
985,1,2,4,2,3,5,2,0,1,5,1,5,1,1,5,4,5,5,4,0.222419929
986,1,2,4,5,6,4,3,0,1,1,0,1,1,1,3,4,3,6,5,0.232173727
987,0,2,3,6,1,4,4,0,1,1,0,1,1,1,4,3,3,2,5,0.222419929
988,0,2,3,2,2,4,2,0,0,3,1,3,3,3,5,3,4,5,3,0.222419929
989,1,2,4,2,5,5,1,0,1,3,1,1,1,3,1,5,3,2,4,0.222419929
990,0,1,2,2,1,2,1,0,0,1,0,1,1,1,1,3,3,0,3,0.232238469
991,1,1,3,2,3,2,3,1,1,4,1,4,1,4,4,1,1,3,3,0.222419929
992,0,4,3,2,4,2,2,0,1,1,0,1,1,1,2,4,4,3,3,0.222419929
993,1,2,4,3,4,2,4,0,0,2,1,1,1,2,2,4,1,2,4,0.222419929
994,1,4,1,3,1,5,1,1,0,5,1,5,1,1,5,3,3,3,4,3.558718861
995,0,1,2,2,4,3,2,0,0,2,1,2,1,2,3,4,2,2,5,0.232238469
996,0,1,2,5,4,2,1,0,1,1,0,1,1,1,1,2,2,3,5,3.511892077
997,1,3,4,3,3,4,3,0,1,3,1,3,1,3,4,2,2,3,2,0.232173727
998,1,2,4,6,4,3,4,1,1,2,1,1,1,2,3,2,2,3,5,0.222419929
999,0,1,2,3,1,4,3,0,1,4,1,1,1,4,4,4,3,5,4,3.511892077
1000,1,2,4,2,4,3,3,0,0,3,1,3,3,3,3,5,2,6,5,0.222419929
1001,0,2,3,3,2,4,2,0,0,2,1,1,1,2,4,2,2,5,5,0.222419929
1002,0,2,3,6,6,2,5,0,0,3,1,1,1,3,1,1,1,2,5,0.222419929
1003,1,2,3,5,2,4,4,0,1,3,1,3,1,3,4,3,3,4,4,0.232173727
1004,1,2,4,2,2,4,2,0,1,5,1,1,5,5,2,2,2,2,4,0.222419929
1005,0,3,3,2,6,5,1,0,1,5,1,5,1,1,4,1,1,7,5,0.222419929
1006,1,3,4,2,5,4,4,0,1,4,1,1,1,4,2,4,4,6,4,0.222419929
1007,1,2,4,1,5,2,3,1,1,1,0,1,1,1,2,2,4,5,4,0.501949734
1008,1,2,4,3,3,3,2,0,0,3,1,1,1,3,3,2,2,3,5,0.222419929
1009,0,2,3,3,2,3,3,1,0,3,1,1,3,1,3,3,3,4,3,0.222419929
1010,0,4,2,3,4,5,3,0,0,3,1,1,1,3,4,3,4,3,4,0.391381034
1011,0,4,4,3,4,5,4,0,1,1,0,1,1,1,2,4,1,5,4,0.222419929
1012,0,2,4,2,5,4,4,0,1,3,1,1,1,3,3,4,2,4,5,0.222419929
1013,0,3,4,1,6,4,5,0,1,3,1,3,1,3,4,3,3,4,5,0.222419929
1014,1,1,1,5,3,4,5,0,1,2,1,1,1,2,3,3,3,2,5,3.558718861
1015,0,3,2,2,1,4,5,0,1,1,0,1,1,1,5,3,3,4,5,3.405215257
1016,0,2,4,1,5,3,4,1,1,2,1,1,1,2,4,3,3,4,4,0.222419929
1017,0,2,4,1,5,3,4,1,1,2,1,1,1,2,4,3,2,4,4,0.222419929
1018,0,2,4,1,5,3,4,1,1,2,1,1,1,2,4,3,3,4,4,0.222419929
1019,1,2,4,3,6,4,1,1,1,2,1,1,1,2,5,4,1,6,5,0.232173727
1020,1,2,4,6,4,4,4,0,1,2,1,1,2,2,3,3,1,2,5,0.222419929
1021,0,2,3,2,4,5,5,0,1,3,1,3,1,3,4,4,4,3,5,0.222419929
1022,1,1,2,3,4,4,3,0,0,2,1,1,1,2,4,2,2,5,4,3.558718861
1023,1,1,1,2,1,2,3,0,0,1,0,1,1,1,4,3,2,4,4,2.391569611
1024,0,3,4,5,5,4,4,0,1,1,0,1,1,1,3,2,3,4,3,0.222419929
1025,0,3,4,1,5,3,4,0,0,1,0,1,1,1,2,3,2,5,3,0.222419929
1026,1,1,2,6,2,2,4,0,0,2,1,2,2,2,2,3,1,5,4,2.939458215
1027,1,2,4,1,5,4,5,0,0,2,1,2,1,2,2,4,2,3,4,0.222419929
1028,1,2,3,2,3,3,2,1,0,4,1,1,4,1,5,4,5,5,3,0.222419929
1029,0,2,3,6,3,4,4,0,1,2,1,2,2,2,3,1,1,1,4,0.222419929
1030,0,2,4,3,NA,5,5,0,0,1,0,1,1,1,5,2,NA,3,5,0.222419929
1031,0,3,4,2,5,4,5,0,1,2,1,1,1,2,2,2,2,3,4,0.222419929
1032,0,NA,3,5,3,3,4,0,0,1,0,1,1,1,2,2,2,3,2,0.222419929
1033,NA,2,4,1,4,5,5,0,0,1,0,1,1,1,2,1,1,4,5,0.222419929
1034,0,1,2,2,4,4,4,0,0,3,1,3,1,3,4,4,2,3,4,0.232238469
1035,0,2,2,6,4,4,2,0,1,3,1,1,3,1,3,4,4,0,4,3.172756249
1036,0,1,1,2,1,3,1,1,0,2,1,1,1,2,3,4,3,1,4,0.232238469
1037,1,1,1,3,1,4,2,0,1,2,1,1,1,2,3,3,2,0,3,3.558718861
1038,0,2,1,2,4,3,2,0,0,3,1,1,1,3,4,2,2,4,3,0.232238469
1039,0,2,2,2,1,3,3,0,0,1,0,1,1,1,3,3,3,0,3,0.232238469
1040,1,1,2,3,6,4,4,0,0,2,1,1,1,2,3,2,2,2,3,3.558718861
1041,0,4,3,3,2,4,2,0,0,4,1,1,1,4,5,4,2,1,3,0.222419929
1042,0,2,5,3,4,4,2,0,1,3,1,3,3,3,3,4,4,3,5,0.222419929
1043,1,2,4,2,6,4,1,0,1,3,1,3,1,3,4,4,3,4,4,0.222419929
1044,1,2,4,1,5,5,1,0,0,1,0,1,1,1,3,3,3,8,5,0.222419929
1045,1,2,4,2,5,5,5,0,1,4,1,4,4,4,4,3,1,2,4,0.222419929
1046,1,1,1,3,3,3,5,0,1,2,1,1,1,2,4,5,2,4,5,3.558718861
1047,0,2,3,1,1,5,1,0,1,1,0,1,1,1,5,1,5,5,5,0.222419929
1048,1,2,3,2,1,1,5,0,0,1,0,1,1,1,2,1,1,5,5,0.222419929
1049,1,2,3,2,4,4,5,0,0,2,1,1,2,2,3,2,2,3,5,0.222419929
1050,1,2,3,2,3,1,2,0,0,2,1,2,1,2,1,4,3,5,2,0.222419929
1051,0,2,2,2,1,NA,4,1,1,5,1,5,1,1,2,1,1,1,1,2.263165175
1052,1,3,4,5,4,4,5,0,0,1,0,1,1,1,3,2,2,5,5,0.222419929
1053,0,2,2,6,4,3,5,0,1,4,1,4,1,4,4,3,2,3,4,3.172756249
1054,1,2,4,2,5,4,2,0,0,3,1,3,1,3,5,3,2,4,4,0.222419929
1055,1,2,2,2,2,3,1,0,0,2,1,1,1,2,3,4,2,4,5,1.683689717
1056,1,2,4,2,4,3,3,0,0,4,1,4,1,4,5,4,4,2,5,0.222419929
1057,1,2,3,2,2,3,2,0,1,2,1,1,1,2,5,5,2,5,2,0.222419929
1058,1,2,4,2,4,4,5,0,0,3,1,1,1,3,3,4,4,3,3,0.222419929
1059,1,2,3,2,5,4,2,0,0,2,1,2,2,2,5,2,2,4,2,0.222419929
1060,1,3,4,2,1,4,3,0,0,1,0,1,1,1,3,3,3,4,4,0.222419929
1061,1,2,4,2,1,2,2,0,0,2,1,1,1,2,4,2,2,5,3,0.222419929
1062,1,3,3,1,4,2,4,0,0,1,0,1,1,1,3,3,2,4,3,0.222419929
1063,1,2,3,1,2,3,1,0,1,3,1,3,3,3,4,3,3,5,5,0.501949734
1064,1,1,2,5,2,3,5,0,0,1,0,1,1,1,2,1,4,4,5,3.558718861
1065,1,2,3,3,3,3,3,0,0,2,1,1,1,2,5,3,2,5,5,0.222419929
1066,1,2,3,2,2,3,1,0,1,4,1,4,4,4,3,4,3,4,5,0.222419929
1067,1,3,4,1,5,5,5,0,1,3,1,3,1,3,2,5,1,0,5,0.707379899
1068,1,1,2,2,5,1,5,0,0,4,1,4,4,4,1,4,1,4,3,2.391569611
1069,1,3,4,1,3,3,4,0,1,5,1,5,5,5,3,2,3,3,4,0.707379899
1070,1,3,4,1,3,3,3,1,1,4,1,4,1,4,4,3,3,4,3,0.707379899
1071,1,3,4,6,2,3,3,0,0,1,0,1,1,1,3,3,3,3,4,0.222419929
1072,1,1,2,3,2,2,4,0,0,3,1,3,1,3,2,2,1,3,3,3.558718861
1073,1,3,4,2,3,3,3,0,1,4,1,4,1,4,4,3,2,3,3,0.222419929
1074,1,1,2,1,3,4,2,0,0,4,1,4,4,4,4,4,4,4,4,3.558718861
1075,1,3,4,6,5,3,3,0,1,1,0,1,1,1,3,4,2,3,3,0.222419929
1076,1,3,4,1,1,4,3,0,1,1,0,1,1,1,3,4,3,3,4,0.707379899
1077,1,1,4,2,3,3,2,0,0,2,1,1,2,2,2,3,2,1,4,0.222419929
1078,1,3,4,1,2,4,4,0,1,2,1,1,2,1,4,3,3,3,4,0.707379899
1079,1,3,4,6,4,2,3,0,1,1,0,1,1,1,3,3,3,4,4,0.222419929
1080,1,3,4,2,4,4,3,0,1,1,0,1,1,1,3,3,3,3,4,0.222419929
1081,1,3,4,3,5,4,1,0,1,1,0,1,1,1,3,3,3,3,3,0.232173727
1082,1,3,4,1,2,4,4,0,1,1,0,1,1,1,3,3,3,3,4,0.707379899
1083,1,3,4,3,5,2,3,0,1,1,0,1,1,1,4,3,4,3,4,0.232173727
1084,1,4,4,2,3,3,3,0,0,3,1,3,1,3,3,3,3,4,3,0.222419929
1085,1,1,1,2,2,4,4,0,1,1,0,1,1,1,4,3,3,3,3,3.558718861
1086,1,1,1,2,3,5,2,0,1,2,1,1,2,1,5,2,1,3,4,3.558718861
1087,1,1,1,2,3,5,2,0,0,1,0,1,1,1,3,2,2,3,4,2.391569611
1088,1,3,3,5,2,2,3,0,1,1,0,1,1,1,2,2,2,4,4,0.232173727
